Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SQNS,Sequans Communications S.A. American Depositary Shares,$6.24,-0.11,-1.732%,208937177.00,France,2011,137467,Technology,Semiconductors
SRL,Scully Royalty Ltd.,$9.19,0.48,5.511%,115378621.00,Canada,,15229,,
SRV,Cushing MLP & Infrastructure Total Return Fund,$25.1638,-0.1492,-0.589%,54942414.00,United States,,3914,,
STG,Sunlands Technology Group American Depositary Shares representing Class A ordinary shares,$1.07,-0.03,-2.727%,180006020.00,,2018,178945,Consumer Services,Other Consumer Services
STON,StoneMor Inc. Common Stock,$1.86,-0.08,-4.124%,219327510.00,United States,2004,171694,Consumer Services,Other Consumer Services
SUP,Superior Industries International Inc. Common Stock (DE),$5.80,-0.08,-1.361%,148433194.00,United States,,286675,Capital Goods,Auto Parts:O.E.M.
SUPV,Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,$1.80,0.06,3.448%,164420035.00,,2016,425417,Finance,Commercial Banks
SWZ,Swiss Helvetia Fund Inc. (The) Common Stock,$8.99,0.11,1.239%,118778163.00,United States,,18840,,
SZC,Cushing NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,$41.00,-0.2083,-0.505%,106670274.00,,2012,18267,,
TCI,Transcontinental Realty Investors Inc. Common Stock,$21.98,-0.59,-2.614%,189892166.00,United States,,935,Consumer Services,Real Estate Investment Trusts
TEAF,Tortoise Essential Assets Income Term Fund Common Shares of Beneficial Interest,$14.50,0.07,0.485%,195621342.00,,2019,37782,,
